epoch,train_loss,val_loss,train_loss_MI,train_loss_NORM,val_loss_MI,val_loss_NORM,val_accuracy,val_f1_weighted,val_precision_weighted,val_recall_weighted,val_f1_MI,val_f1_NORM,val_precision_MI,val_precision_NORM,val_recall_MI,val_recall_NORM
1,0.21814475880811862,0.22729319515931096,0.23109805583953857,0.20506346225738525,0.24027900397777557,0.21303598582744598,0.8683968764354616,0.871038041519299,0.887892189613525,0.8683968764354616,0.8467014712861889,0.8858739026336792,0.7658530602232307,0.9622886866059818,0.9466343238326258,0.8207024029574861
2,0.1594233789343141,0.28572240904646085,0.16889046132564545,0.1498165726661682,0.3014984130859375,0.2682379484176636,0.8915365181442352,0.8923977324065766,0.8936516071858622,0.8915365181442352,0.8603958922458699,0.911906432748538,0.8449283835135926,0.9233538607295121,0.8764402668283808,0.9007393715341959
3,0.13010422194907875,0.31083010105953285,0.13783378899097443,0.12225699424743652,0.32863619923591614,0.2910401523113251,0.873162609095085,0.8751095069985542,0.8822044127893881,0.873162609095085,0.8446993838963246,0.8936478777917433,0.7925581395348837,0.9368538414757754,0.9041843541540328,0.8542513863216267
4,0.10299460495485359,0.3863554265353733,0.10911701619625092,0.09678157418966293,0.4077882766723633,0.36244669556617737,0.8918810289389068,0.8922210518928809,0.8925621784906863,0.8918810289389068,0.8578368121442125,0.9131820912073187,0.8589451284389725,0.913055529890049,0.8567313523347483,0.9133086876155267
5,0.08165747203374589,0.36986268275450757,0.08650494366884232,0.07673607766628265,0.39043134450912476,0.3469277024269104,0.8966467615985301,0.8968627533752758,0.8970823106991842,0.8966467615985301,0.8641489442215999,0.9168054784379048,0.8627776938189512,0.9179948109710897,0.8655245603395998,0.9156192236598891
6,0.06516489311284707,0.4022291995996777,0.06903819739818573,0.06123355031013489,0.42516639828681946,0.376714825630188,0.8799954065227377,0.8813000026130847,0.8860425480923784,0.8799954065227377,0.8507740825688074,0.8999089645920176,0.8068243610657966,0.9343348920505422,0.8997877501516071,0.8679297597042513
7,0.05199945868955091,0.9713928229455717,0.05986683815717697,0.05308275669813156,1.0289053916931152,0.9077355861663818,0.7543063849333945,0.7556785157766284,0.8330045839707785,0.7544786403307303,0.7487812041116005,0.7598831985624438,0.6111803624508582,0.9682312535775616,0.9663432383262583,0.6253234750462108
8,0.11231910790479198,0.3405416124576483,0.1190708801150322,0.10546601563692093,0.3598298728466034,0.31907185912132263,0.8886081763895268,0.8893901658358451,0.8908607945481312,0.8886081763895268,0.8572273567467652,0.9089969947407964,0.8366286621446096,0.9239213440244368,0.8788659793814433,0.894547134935305
9,0.05240210705901566,0.422271122297706,0.055518392473459244,0.0492384172976017,0.4459491968154907,0.3958999514579773,0.8934313275149288,0.8938868686330614,0.8946407161877986,0.8934313275149288,0.8618298411751547,0.9134292118042585,0.847982391782832,0.9230841827104568,0.876137052759248,0.9039741219963031
10,0.03863829704088398,0.49075337402296043,0.040939077734947205,0.03630263730883598,0.5187092423439026,0.4596625864505768,0.8906178226917777,0.8907260551642802,0.890902289110685,0.8906178226917777,0.8550026752273944,0.9125034501794094,0.8621859102821027,0.9084081333577578,0.8479381443298969,0.9166358595194085
11,0.0327126415881905,0.5077309278095332,0.0346628837287426,0.0307328924536705,0.5357113480567932,0.47649598121643066,0.8987138263665595,0.8985193810014371,0.8987764801784127,0.8987138263665595,0.8640198127079948,0.9195507259610994,0.8825296442687747,0.908680743548096,0.8462704669496665,0.9306839186691312
12,0.026102657853161983,0.5801224587766574,0.027658971026539803,0.02452271245419979,0.6126378774642944,0.543910801410675,0.8957854846118511,0.8956987583856751,0.8958189722261178,0.8957854846118511,0.8609210425155686,0.9168996653985424,0.8733426922476992,0.9095207783941075,0.8488477865372953,0.9243992606284658
13,0.023210307703165716,0.6164488528194069,0.024596311151981354,0.021803289651870728,0.6517251133918762,0.5772479176521301,0.8876320624712908,0.8873962178077399,0.8875038389273866,0.8876320624712908,0.8493129535278678,0.9106122262356545,0.8652091852783894,0.9010949235363316,0.8339902971497878,0.9203327171903881
14,0.021205381840418473,0.5463758991954694,0.02246670424938202,0.01992489956319332,0.5770383477210999,0.5122126340866089,0.8936610013780432,0.8938620797608102,0.8941218862679535,0.8936610013780432,0.8607118669576341,0.9140708416508054,0.8544748244434484,0.9182912041787147,0.8670406306852638,0.9098890942698706
15,0.020472351261748824,0.5713221572102466,0.021691009402275085,0.01923520490527153,0.6035175323486328,0.5354692339897156,0.883210840606339,0.8838948051336046,0.8849690070403818,0.883210840606339,0.8494271685761048,0.9049066841292858,0.8339176161262051,0.9160905388767876,0.8655245603395998,0.893992606284658
16,0.016506694098735567,0.5561124130239691,0.01748707890510559,0.01551134791225195,0.5878607630729675,0.5208017230033875,0.8846463022508039,0.8851377188467735,0.8858193010246704,0.8846463022508039,0.849917701631004,0.9066082579923571,0.8389955686853766,0.9143636021808611,0.8611279563371741,0.8989833641404806
17,0.01571358169437827,0.7142283153421154,0.01664848066866398,0.014764495193958282,0.754258394241333,0.6696204543113708,0.8944648598989435,0.893927831768906,0.89432679897839,0.8944648598989435,0.85654041390082,0.9167196439923713,0.8832340151393139,0.9010890912337083,0.8314129775621589,0.9329020332717191
18,0.015013308131542825,0.6738234437627062,0.015907464548945427,0.014105659909546375,0.7122598886489868,0.6311402916908264,0.8937184198438217,0.8934904087497891,0.8935512161428493,0.8937184198438217,0.8576493256262042,0.9153395570199524,0.8722370277472958,0.9065445975344453,0.8435415403274712,0.9243068391866913
19,0.014467637851964674,0.7099659969262326,0.015331272035837173,0.013591219671070576,0.7493983507156372,0.6659825444221497,0.8962448323380799,0.8960035446581914,0.896174856340769,0.8962448323380799,0.8604345472821464,0.9176868262378951,0.8780179895849771,0.9072434971098265,0.8435415403274712,0.928373382624769
20,0.013299683836710948,0.566919145755106,0.01409132033586502,0.012496058829128742,0.5986132025718689,0.5315914750099182,0.8872301332108407,0.8869601031432927,0.8869320880658887,0.8872301332108407,0.8490725775417532,0.9100567869573182,0.8622791933718931,0.9019607843137255,0.8362644026682838,0.9182994454713493
